blk_no,street,road_name,address,latiude,longtitude,postal
196C,PUNGGOL FIELD,PUNGGOL FIELD,196C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823196,1.399279585,103.9074976,823196
196D,PUNGGOL FIELD,PUNGGOL FIELD,196D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824196,1.399660814,103.9072345,824196
197,PUNGGOL FIELD,PUNGGOL FIELD,197B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822197,1.400131511,103.9066476,822197
197A,PUNGGOL FIELD,PUNGGOL FIELD,197A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821197,1.399774254,103.9068498,821197
197B,PUNGGOL FIELD,PUNGGOL FIELD,197B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822197,1.400131511,103.9066476,822197
198,PUNGGOL FIELD,PUNGGOL FIELD,198 PUNGGOL FIELD CEDAN KINDERGARTEN SINGAPORE 820198,1.399509424,103.9063716,820198
199,PUNGGOL FIELD,PUNGGOL FIELD,199 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820199,1.400164306,103.9060222,820199
199A,PUNGGOL FIELD,PUNGGOL FIELD,199A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821199,1.399772996,103.9060012,821199
199B,PUNGGOL FIELD,PUNGGOL FIELD,199B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822199,1.39996998,103.9057512,822199
199C,PUNGGOL FIELD,PUNGGOL FIELD,199C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823199,1.400647082,103.9060066,823199
199D,PUNGGOL FIELD,PUNGGOL FIELD,199D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824199,1.400455442,103.9062079,824199
200,PUNGGOL FIELD,PUNGGOL FIELD,200 PUNGGOL FIELD SINGAPORE 820200,1.399287316,103.9030733,820200
201,PUNGGOL FIELD,PUNGGOL FIELD,201 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820201,1.399790631,103.9036842,820201
201A,PUNGGOL FIELD,PUNGGOL FIELD,201A PUNGGOL FIELD SINGAPORE 821201,1.400085464,103.9035356,821201
201B,PUNGGOL FIELD,PUNGGOL FIELD,201B PUNGGOL FIELD SINGAPORE 822201,1.399978043,103.9038532,822201
201C,PUNGGOL FIELD,PUNGGOL FIELD,201C PUNGGOL FIELD SINGAPORE 823201,1.399331482,103.903712,823201
201D,PUNGGOL FIELD,PUNGGOL FIELD,201D PUNGGOL FIELD SINGAPORE 824201,1.399684321,103.9033781,824201
202A,PUNGGOL FIELD,PUNGGOL FIELD,202A PUNGGOL FIELD SINGAPORE 821202,1.399664223,103.9044956,821202
202B,PUNGGOL FIELD,PUNGGOL FIELD,202B PUNGGOL FIELD SINGAPORE 822202,1.399234781,103.9042775,822202
203,PUNGGOL FIELD,PUNGGOL FIELD,203A PUNGGOL FIELD SINGAPORE 821203,1.398524282,103.9038627,821203
203A,PUNGGOL FIELD,PUNGGOL FIELD,203A PUNGGOL FIELD SINGAPORE 821203,1.398524282,103.9038627,821203
203B,PUNGGOL FIELD,PUNGGOL FIELD,203B PUNGGOL FIELD SINGAPORE 822203,1.398048415,103.9034765,822203
204,PUNGGOL FIELD,PUNGGOL FIELD,204 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820204,1.39848505,103.9030658,820204
204A,PUNGGOL FIELD,PUNGGOL FIELD,204A PUNGGOL FIELD SINGAPORE 821204,1.398778276,103.9029109,821204
204B,PUNGGOL FIELD,PUNGGOL FIELD,204B PUNGGOL FIELD SINGAPORE 822204,1.398682245,103.9032111,822204
204C,PUNGGOL FIELD,PUNGGOL FIELD,204C PUNGGOL FIELD SINGAPORE 823204,1.398033215,103.9030726,823204
204D,PUNGGOL FIELD,PUNGGOL FIELD,204D PUNGGOL FIELD SINGAPORE 824204,1.398311222,103.9025511,824204
205A,PUNGGOL FIELD,PUNGGOL FIELD,205A PUNGGOL FIELD SINGAPORE 821205,1.39852262,103.9021117,821205
226,SUMANG LANE,SUMANG LANE,226 SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 820226,1.403086557,103.8933677,820226
211,PUNGGOL WALK,PUNGGOL WALK,211 PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 820211,1.401455007,103.899421,820211
211A,PUNGGOL WALK,PUNGGOL WALK,211A PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 821211,1.401759847,103.8999443,821211
211B,PUNGGOL WALK,PUNGGOL WALK,211B PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 822211,1.401169895,103.8999209,822211
211C,PUNGGOL WALK,PUNGGOL WALK,211C PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 823211,1.400760493,103.8996136,823211
211D,PUNGGOL WALK,PUNGGOL WALK,211D PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 824211,1.400935632,103.8991985,824211
212,PUNGGOL WALK,PUNGGOL WALK,212 PUNGGOL WALK PUNGGOL WAVES SINGAPORE 820212,1.399697544,103.8991814,820212
212A,PUNGGOL WALK,PUNGGOL WALK,212A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821212,1.399960561,103.8989836,821212
212B,PUNGGOL WALK,PUNGGOL WALK,212B PUNGGOL WALK PUNGGOL WAVES SINGAPORE 822212,1.400404239,103.8994843,822212
213,PUNGGOL WALK,PUNGGOL WALK,213 PUNGGOL WALK PUNGGOL WAVES SINGAPORE 820213,1.400013616,103.8986469,820213
213A,PUNGGOL WALK,PUNGGOL WALK,213A PUNGGOL WALK PUNGGOL WAVES SINGAPORE 821213,1.400309003,103.8980751,821213
213B,PUNGGOL WALK,PUNGGOL WALK,213B PUNGGOL WALK PUNGGOL WAVES SINGAPORE 822213,1.400719621,103.8984847,822213
213C,PUNGGOL WALK,PUNGGOL WALK,213C PUNGGOL WALK PUNGGOL WAVES SINGAPORE 823213,1.400598495,103.8989202,823213
217,SUMANG WALK,SUMANG WALK,217 SUMANG WALK MATILDA PORTICO SINGAPORE 820217,1.402857593,103.8956154,820217
217A,SUMANG WALK,SUMANG WALK,217A SUMANG WALK MATILDA PORTICO SINGAPORE 821217,1.402985918,103.8950208,821217
217B,SUMANG WALK,SUMANG WALK,217B SUMANG WALK MATILDA PORTICO SINGAPORE 822217,1.402401614,103.894935,822217
217C,SUMANG WALK,SUMANG WALK,217C SUMANG WALK MATILDA PORTICO SINGAPORE 823217,1.40235851,103.8954941,823217
217D,SUMANG WALK,SUMANG WALK,217D SUMANG WALK MATILDA PORTICO SINGAPORE 824217,1.402049858,103.8961662,824217
218,SUMANG WALK,SUMANG WALK,218 SUMANG WALK MATILDA PORTICO SINGAPORE 820218,1.403227125,103.895387,820218
219,SUMANG WALK,SUMANG WALK,219 SUMANG WALK MATILDA PORTICO SINGAPORE 820219,1.402431415,103.8961988,820219
227A,SUMANG LANE,SUMANG LANE,227A SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 821227,1.403589257,103.8929587,821227
227B,SUMANG LANE,SUMANG LANE,227B SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 822227,1.403474145,103.8937238,822227
220,SUMANG LANE,SUMANG LANE,220C SUMANG LANE MATILDA EDGE SINGAPORE 823220,1.401610263,103.8960025,823220
220A,SUMANG LANE,SUMANG LANE,220A SUMANG LANE MATILDA EDGE SINGAPORE 821220,1.401523084,103.8946278,821220
220B,SUMANG LANE,SUMANG LANE,220B SUMANG LANE MATILDA EDGE SINGAPORE 822220,1.401510336,103.8954201,822220
220C,SUMANG LANE,SUMANG LANE,220C SUMANG LANE MATILDA EDGE SINGAPORE 823220,1.401610263,103.8960025,823220
221A,SUMANG LANE,SUMANG LANE,221A SUMANG LANE MATILDA EDGE SINGAPORE 821221,1.400982072,103.8956727,821221
221B,SUMANG LANE,SUMANG LANE,221B SUMANG LANE MATILDA EDGE SINGAPORE 822221,1.401019438,103.895063,822221
222,SUMANG LANE,SUMANG LANE,222 SUMANG LANE MATILDA EDGE SINGAPORE 820222,1.401112238,103.8942709,820222
222A,SUMANG LANE,SUMANG LANE,222A SUMANG LANE MATILDA EDGE SINGAPORE 821222,1.40112611,103.8934778,821222
223A,SUMANG LANE,SUMANG LANE,223A SUMANG LANE MATILDA EDGE SINGAPORE 821223,1.401263279,103.8928374,821223
224,SUMANG LANE,SUMANG LANE,224 SUMANG LANE MATILDA EDGE SINGAPORE 820224,1.401546171,103.8936056,820224
224A,SUMANG LANE,SUMANG LANE,224A SUMANG LANE MATILDA EDGE SINGAPORE 821224,1.401956216,103.8928113,821224
224B,SUMANG LANE,SUMANG LANE,224B SUMANG LANE MATILDA EDGE SINGAPORE 822224,1.401831806,103.8933737,822224
224C,SUMANG LANE,SUMANG LANE,224C SUMANG LANE MATILDA EDGE SINGAPORE 823224,1.401622845,103.8939796,823224
226A,SUMANG LANE,SUMANG LANE,226A SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 821226,1.402728129,103.8931013,821226
226B,SUMANG LANE,SUMANG LANE,226B SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 822226,1.40268498,103.893609,822226
226C,SUMANG LANE,SUMANG LANE,226C SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 823226,1.402581096,103.8940175,823226
226D,SUMANG LANE,SUMANG LANE,226D SUMANG LANE THE VERANDAH @ MATILDA SINGAPORE 824226,1.403078205,103.8936349,824226
231,SUMANG LANE,SUMANG LANE,231B SUMANG LANE MATILDA COURT SINGAPORE 822231,1.402128424,103.8914669,822231
231A,SUMANG LANE,SUMANG LANE,231A SUMANG LANE MATILDA COURT SINGAPORE 821231,1.402059178,103.8918791,821231
231B,SUMANG LANE,SUMANG LANE,231B SUMANG LANE MATILDA COURT SINGAPORE 822231,1.402128424,103.8914669,822231
232,SUMANG LANE,SUMANG LANE,232 SUMANG LANE MATILDA COURT SINGAPORE 820232,1.401784295,103.8900741,820232
232A,SUMANG LANE,SUMANG LANE,232A SUMANG LANE MATILDA COURT SINGAPORE 821232,1.402186927,103.8910433,821232
232B,SUMANG LANE,SUMANG LANE,232B SUMANG LANE MATILDA COURT SINGAPORE 822232,1.402301276,103.8906333,822232
232C,SUMANG LANE,SUMANG LANE,232C SUMANG LANE MATILDA COURT SINGAPORE 823232,1.402040357,103.8901187,823232
233,SUMANG LANE,SUMANG LANE,233 SUMANG LANE MATILDA COURT SINGAPORE 820233,1.40127043,103.8913893,820233
233A,SUMANG LANE,SUMANG LANE,233A SUMANG LANE MATILDA COURT SINGAPORE 821233,1.401581592,103.8903108,821233
233B,SUMANG LANE,SUMANG LANE,233B SUMANG LANE MATILDA COURT SINGAPORE 822233,1.401652532,103.890713,822233
233C,SUMANG LANE,SUMANG LANE,233C SUMANG LANE MATILDA COURT SINGAPORE 823233,1.401731602,103.8910415,823233
234,SUMANG LANE,SUMANG LANE,234 SUMANG LANE MATILDA COURT SINGAPORE 820234,1.401506256,103.8922368,820234
234A,SUMANG LANE,SUMANG LANE,234A SUMANG LANE MATILDA COURT SINGAPORE 821234,1.401670967,103.8918975,821234
234B,SUMANG LANE,SUMANG LANE,234B SUMANG LANE MATILDA COURT SINGAPORE 822234,1.4015204,103.8915648,822234
256,SUMANG WALK,SUMANG WALK,256 SUMANG WALK PUNGGOL OPAL SINGAPORE 820256,1.405534903,103.8955145,820256
256A,SUMANG WALK,SUMANG WALK,256A SUMANG WALK PUNGGOL OPAL SINGAPORE 821256,1.406091605,103.8957066,821256
256B,SUMANG WALK,SUMANG WALK,256B SUMANG WALK PUNGGOL OPAL SINGAPORE 822256,1.406049079,103.8961795,822256
256C,SUMANG WALK,SUMANG WALK,256C SUMANG WALK PUNGGOL OPAL SINGAPORE 823256,1.405402037,103.8959105,823256
256D,SUMANG WALK,SUMANG WALK,256D SUMANG WALK PUNGGOL OPAL SINGAPORE 824256,1.404948702,103.8960077,824256
257,SUMANG WALK,SUMANG WALK,257 SUMANG WALK PUNGGOL OPAL SINGAPORE 820257,1.405235611,103.8956418,820257
258,PUNGGOL FIELD,PUNGGOL FIELD,258A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821258,1.403799309,103.8959881,821258
258A,PUNGGOL FIELD,PUNGGOL FIELD,258A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821258,1.403799309,103.8959881,821258
258B,PUNGGOL FIELD,PUNGGOL FIELD,258B PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 822258,1.403682308,103.8964614,822258
258C,PUNGGOL FIELD,PUNGGOL FIELD,258C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823258,1.404141932,103.8963636,823258
259,PUNGGOL FIELD,PUNGGOL FIELD,259 PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 820259,1.404466613,103.8953349,820259
259A,PUNGGOL FIELD,PUNGGOL FIELD,259A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821259,1.4038234,103.8955478,821259
259B,PUNGGOL FIELD,PUNGGOL FIELD,259B PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 822259,1.403878308,103.8952388,822259
259C,PUNGGOL FIELD,PUNGGOL FIELD,259C PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 823259,1.404534086,103.8956655,823259
260A,PUNGGOL WAY,PUNGGOL WAY,260A PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 821260,1.404797138,103.8966161,821260
260B,PUNGGOL WAY,PUNGGOL WAY,260B PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 822260,1.404884893,103.8963513,822260
260C,PUNGGOL WAY,PUNGGOL WAY,260C PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 823260,1.40524575,103.8964109,823260
261,PUNGGOL WAY,PUNGGOL WAY,261 PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 820261,1.405413537,103.8968239,820261
261A,PUNGGOL WAY,PUNGGOL WAY,261A PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 821261,1.405969915,103.8968033,821261
261B,PUNGGOL WAY,PUNGGOL WAY,261B PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 822261,1.406015347,103.8965083,822261
261C,PUNGGOL WAY,PUNGGOL WAY,261C PUNGGOL WAY PUNGGOL TOPAZ SINGAPORE 823261,1.405623025,103.8964704,823261
264,PUNGGOL WAY,PUNGGOL WAY,264 PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 820264,1.406140153,103.8990243,820264
264A,PUNGGOL WAY,PUNGGOL WAY,264A PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 821264,1.405977041,103.8985441,821264
265A,PUNGGOL WAY,PUNGGOL WAY,265A PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 821265,1.405666869,103.8987156,821265
265B,PUNGGOL WAY,PUNGGOL WAY,265B PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 822265,1.405199693,103.8986626,822265
265C,PUNGGOL WAY,PUNGGOL WAY,265C PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 823265,1.40499729,103.8985186,823265
265D,PUNGGOL WAY,PUNGGOL WAY,265D PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 824265,1.40482605,103.8983017,824265
266,PUNGGOL WAY,PUNGGOL WAY,266 PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 820266,1.405460028,103.8983542,820266
266A,PUNGGOL WAY,PUNGGOL WAY,266A PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 821266,1.405960716,103.8979707,821266
266B,PUNGGOL WAY,PUNGGOL WAY,266B PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 822266,1.405574739,103.8979257,822266
266C,PUNGGOL WAY,PUNGGOL WAY,266C PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 823266,1.405154198,103.8978052,823266
266D,PUNGGOL WAY,PUNGGOL WAY,266D PUNGGOL WAY PUNGGOL EMERALD SINGAPORE 824266,1.404939601,103.8980368,824266
267,PUNGGOL FIELD,PUNGGOL FIELD,267 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820267,1.404063782,103.897907,820267
267A,PUNGGOL FIELD,PUNGGOL FIELD,267A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821267,1.404559094,103.8975049,821267
267B,PUNGGOL FIELD,PUNGGOL FIELD,267B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822267,1.404432739,103.8979324,822267
267C,PUNGGOL FIELD,PUNGGOL FIELD,267C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823267,1.404290802,103.8983193,823267
268,PUNGGOL FIELD,PUNGGOL FIELD,268 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820268,1.403541088,103.8971408,820268
268A,PUNGGOL FIELD,PUNGGOL FIELD,268A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821268,1.404111506,103.8973989,821268
268B,PUNGGOL FIELD,PUNGGOL FIELD,268B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822268,1.403782416,103.8973001,822268
268C,PUNGGOL FIELD,PUNGGOL FIELD,268C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823268,1.403474149,103.8979384,823268
268D,PUNGGOL FIELD,PUNGGOL FIELD,268D PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 824268,1.403313781,103.8983589,824268
269,PUNGGOL FIELD,PUNGGOL FIELD,269 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820269,1.403420234,103.899448,820269
269A,PUNGGOL FIELD,PUNGGOL FIELD,269A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821269,1.403149047,103.8989758,821269
269B,PUNGGOL FIELD,PUNGGOL FIELD,269B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822269,1.403443932,103.8986665,822269
269C,PUNGGOL FIELD,PUNGGOL FIELD,269C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823269,1.403652033,103.8985316,823269
270,PUNGGOL FIELD,PUNGGOL FIELD,270 PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 820270,1.40373249,103.8991301,820270
270A,PUNGGOL FIELD,PUNGGOL FIELD,270A PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 821270,1.403979501,103.8994549,821270
270B,PUNGGOL FIELD,PUNGGOL FIELD,270B PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 822270,1.404108025,103.8990319,822270
270C,PUNGGOL FIELD,PUNGGOL FIELD,270C PUNGGOL FIELD PUNGGOL SAPPHIRE SINGAPORE 823270,1.404315452,103.8988518,823270
271,PUNGGOL WALK,PUNGGOL WALK,271 PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 820271,1.403431658,103.9006272,820271
271A,PUNGGOL WALK,PUNGGOL WALK,271A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821271,1.403745404,103.9003189,821271
271B,PUNGGOL WALK,PUNGGOL WALK,271B PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 822271,1.40417055,103.9005811,822271
271C,PUNGGOL WALK,PUNGGOL WALK,271C PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 823271,1.403941659,103.9010343,823271
271D,PUNGGOL WALK,PUNGGOL WALK,271D PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 824271,1.403514326,103.9008903,824271
272,PUNGGOL WALK,PUNGGOL WALK,272A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821272,1.403145259,103.900666,821272
272A,PUNGGOL WALK,PUNGGOL WALK,272A PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 821272,1.403145259,103.900666,821272
272B,PUNGGOL WALK,PUNGGOL WALK,272B PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 822272,1.403295668,103.9002354,822272
272C,PUNGGOL WALK,PUNGGOL WALK,272C PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 823272,1.402857065,103.9000672,823272
272D,PUNGGOL WALK,PUNGGOL WALK,272D PUNGGOL WALK PUNGGOL RESIDENCES SINGAPORE 824272,1.402733475,103.9004635,824272
308,PUNGGOL WALK,PUNGGOL WALK,308 PUNGGOL WALK,1.40800695,103.8990744,NIL
308A,PUNGGOL WALK,PUNGGOL WALK,308A PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 821308,1.407754256,103.9009062,821308
308B,PUNGGOL WALK,PUNGGOL WALK,308B PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 822308,1.407766768,103.8995809,822308
308C,PUNGGOL WALK,PUNGGOL WALK,308C PUNGGOL WALK WATERWAY TERRACES I SINGAPORE 823308,1.408006949,103.8990744,823308
310,PUNGGOL WALK,PUNGGOL WALK,310 PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 820310,1.409430743,103.9007228,820310
310A,PUNGGOL WALK,PUNGGOL WALK,310A PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 821310,1.408700889,103.9013266,821310
310B,PUNGGOL WALK,PUNGGOL WALK,310B PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 822310,1.409322675,103.9008018,822310
310C,PUNGGOL WALK,PUNGGOL WALK,310C PUNGGOL WALK WATERWAY TERRACES II SINGAPORE 823310,1.409710961,103.8998984,823310
