blk_no,street
52,CHIN SWEE RD,52,CHIN SWEE ROAD,52 CHIN SWEE ROAD HDB-CENTRAL AREA SINGAPORE 160052,1.287082783,103.8415801
52,CIRCUIT RD,52,CIRCUIT ROAD,52 CIRCUIT ROAD MACPHERSON GARDEN SINGAPORE 370052,1.3242085140000002,103.88546690000001
52,HAVELOCK RD,52,HAVELOCK ROAD,52 HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 161052,1.28951776,103.8284671
52,JLN BAHAGIA,52,JALAN BAHAGIA,52 JALAN BAHAGIA WHAMPOA GARDENS SINGAPORE 320052,1.327745704,103.8558809
52,KENT RD,52,KENT ROAD,52 KENT ROAD KENT VILLE SINGAPORE 210052,1.316062564,103.8516113
52,LENGKOK BAHRU,52,LENGKOK BAHRU,52 LENGKOK BAHRU HDB-BUKIT MERAH SINGAPORE 150052,1.2884871340000001,103.8133515
52,LOR 6 TOA PAYOH,52,LORONG 6 TOA PAYOH,52 LORONG 6 TOA PAYOH EAST PAYOH PALM SINGAPORE 310052,1.3382491429999999,103.852482
52,MARINE TER,52,MARINE TERRACE,52 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440052,1.305847965,103.9163068
52,NEW UPP CHANGI RD,52,NEW UPPER CHANGI ROAD,52 NEW UPPER CHANGI ROAD HDB-BEDOK SINGAPORE 461052,1.323903872,103.9425114
52,SIMS PL,52,SIMS PLACE,52 SIMS PLACE SIMS VISTA SINGAPORE 380052,1.316665447,103.8803905
52,STIRLING RD,52,STIRLING ROAD,52 STIRLING ROAD HDB-QUEENSTOWN SINGAPORE 140052,1.296545485,103.8034986
52,STRATHMORE AVE,52,STRATHMORE AVENUE,52 STRATHMORE AVENUE FORFAR HEIGHTS SINGAPORE 141052,1.293313145,103.80825340000001
52,TEBAN GDNS RD,52,TEBAN GARDENS ROAD,52 TEBAN GARDENS ROAD HDB-JURONG EAST SINGAPORE 600052,1.321009823,103.7374828
52,TELOK BLANGAH DR,52A,TELOK BLANGAH DRIVE,52A TELOK BLANGAH DRIVE BLANGAH VIEW SINGAPORE 101052,1.273332575,103.8110858
52A,C'WEALTH DR,52A,COMMONWEALTH DRIVE,52A COMMONWEALTH DRIVE COMMONWEALTH 10 SINGAPORE 143052,1.302216957,103.7969307
52A,HAVELOCK RD,52A,HAVELOCK ROAD,52A HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 162052,1.289849378,103.8286521
52A,LOR 5 TOA PAYOH,52A,LORONG 5 TOA PAYOH,52A LORONG 5 TOA PAYOH SINGAPORE 311052,1.3384427209999998,103.8523593
52A,PIPIT RD,52A,PIPIT ROAD,52A PIPIT ROAD SINGAPORE 372052,1.324317902,103.8860292
52A,TELOK BLANGAH DR,52A,TELOK BLANGAH DRIVE,52A TELOK BLANGAH DRIVE BLANGAH VIEW SINGAPORE 101052,1.273332575,103.8110858
520,ANG MO KIO AVE 5,520,ANG MO KIO AVENUE 5,520 ANG MO KIO AVENUE 5 HDB-ANG MO KIO SINGAPORE 560520,1.373405406,103.8511342
520,BEDOK NTH AVE 1,520,BEDOK NORTH AVENUE 1,520 BEDOK NORTH AVENUE 1 HDB-BEDOK SINGAPORE 460520,1.330464618,103.9281343
520,HOUGANG AVE 6,520,HOUGANG AVENUE 6,520 HOUGANG AVENUE 6 HDB-HOUGANG SINGAPORE 530520,1.37310428,103.890062
520,JELAPANG RD,520,JELAPANG ROAD,520 JELAPANG ROAD PANGSHAN VALLEY SINGAPORE 670520,1.386467579,103.76650759999998
520,JURONG WEST ST 52,520,JURONG WEST STREET 52,520 JURONG WEST STREET 52 HDB-JURONG WEST SINGAPORE 640520,1.346098838,103.71787640000001
520,LOR 6 TOA PAYOH,520,LORONG 6 TOA PAYOH,520 LORONG 6 TOA PAYOH,1.333113038,103.84741590000002
520,PASIR RIS ST 52,520,PASIR RIS STREET 52,520 PASIR RIS STREET 52 ELIAS PARKS ESTATE SINGAPORE 510520,1.373432536,103.9447563
520,SERANGOON NTH AVE 4,520,SERANGOON NORTH AVENUE 4,520 SERANGOON NORTH AVENUE 4 HDB-SERANGOON NORTH ESTATE SINGAPORE 550520,1.3720354909999999,103.8737244
520,TAMPINES CTRL 8,520,TAMPINES CENTRAL 8,520 TAMPINES CENTRAL 8 CENTRALE 8 AT TAMPINES SINGAPORE 520520,1.3567967230000002,103.93993990000001
520,WEST COAST RD,520,WEST COAST ROAD,520 WEST COAST ROAD WEST COAST PRIDE SINGAPORE 120520,1.3071477440000001,103.75962840000001
520,WOODLANDS DR 14,520,WOODLANDS DRIVE 14,520 WOODLANDS DRIVE 14 FRAGRANT WOODS SINGAPORE 730520,1.4341741030000001,103.7923973
520A,TAMPINES CTRL 8,520A,TAMPINES CENTRAL 8,520A TAMPINES CENTRAL 8 CENTRALE 8 AT TAMPINES SINGAPORE 521520,1.3570102469999998,103.93991120000001
520B,TAMPINES CTRL 8,520B,TAMPINES CENTRAL 8,520B TAMPINES CENTRAL 8 CENTRALE 8 AT TAMPINES SINGAPORE 522520,1.357266351,103.9396652
520C,TAMPINES CTRL 8,520C,TAMPINES CENTRAL 8,520C TAMPINES CENTRAL 8 CENTRALE 8 AT TAMPINES SINGAPORE 523520,1.3567417080000002,103.93969240000001
521,ANG MO KIO AVE 5,521,ANG MO KIO AVENUE 5,521 ANG MO KIO AVENUE 5 HDB-ANG MO KIO SINGAPORE 560521,1.37357054,103.8515513
